GEOID,State Fips,State,State Abbr,School Dist Code,School Dist Name,"Ages 5-17 in Families in Poverty, Count Est",YEAR
1735850,17,Illinois,IL,35850,Seneca Township High School District 160,65,2017
3027840,30,Montana,MT,27840,Whitehall High School District,11,2017
1719560,17,Illinois,IL,19560,Homewood-Flossmoor Community High School District 233,191,2017
3010170,30,Montana,MT,10170,Fairfield High School District,10,2017
1703780,17,Illinois,IL,03780,Anna Jonesboro Community High School District 81,141,2017
0610860,06,California,CA,10860,Delano Joint Union High School District,1435,2017
0611780,06,California,CA,11780,East Nicolaus Joint Union High School District,11,2017
1725770,17,Illinois,IL,25770,Metamora Township High School District 122,41,2017
1731110,17,Illinois,IL,31110,Pekin Community High School District 303,276,2017
2508910,25,Massachusetts,MA,08910,Northborough-Southborough School District,54,2017
2727002,27,Minnesota,MN,27002,Clinton-Graceville-Beardsley-Wheaton-Sisseton/Wilmot (SD) in Browns Valley (9-12,3,2017
0619540,06,California,CA,19540,Kern High School District,9501,2017
1728200,17,Illinois,IL,28200,New Trier Township High School District 203,145,2017
2525013,25,Massachusetts,MA,25013,Mount Greylock/New Lebanon (NY) School Districts in Hancock (7-12),7,2017
3406060,34,New Jersey,NJ,06060,Greater Egg Harbor Regional School District,617,2017
1733240,17,Illinois,IL,33240,Rantoul Township High School District 193,201,2017
0643410,06,California,CA,43410,Yreka Union High School District,141,2017
0400450,04,Arizona,AZ,00450,Agua Fria Union High School District,868,2017
1719620,17,Illinois,IL,19620,Hononegah Community High School District 207,98,2017
0903780,09,Connecticut,CT,03780,Regional High School District 09,31,2017
0642350,06,California,CA,42350,Wheatland Union High School District,67,2017
2500541,25,Massachusetts,MA,00541,Somerset-Berkley School District,73,2017
0612910,06,California,CA,12910,Escondido Union High School District,1505,2017
1729280,17,Illinois,IL,29280,Oak Park and River Forest District 200,139,2017
3011190,30,Montana,MT,11190,Forsyth High School District,11,2017
0619650,06,California,CA,19650,South Monterey County Joint Union High School District,468,2017
2506930,25,Massachusetts,MA,06930,Lincoln-Sudbury School District,51,2017
2507380,25,Massachusetts,MA,07380,Martha's Vineyard School District,48,2017
3410740,34,New Jersey,NJ,10740,Morris Hills Regional School District,133,2017
2507410,25,Massachusetts,MA,07410,Masconomet School District,51,2017
5507650,55,Wisconsin,WI,07650,Lake Geneva-Genoa City Union High School District,168,2017
3404380,34,New Jersey,NJ,04380,Eastern Camden County Regional School District,96,2017
3000095,30,Montana,MT,00095,Lame Deer High School District,105,2017
2525010,25,Massachusetts,MA,25010,Fairhaven/New Bedford School Districts in Acushnet (9-12),39,2017
0639930,06,California,CA,39930,Tulare Joint Union High School District,1365,2017
0621600,06,California,CA,21600,Liberty Union High School District,533,2017
0903660,09,Connecticut,CT,03660,Regional High School District 05,82,2017
0638730,06,California,CA,38730,Taft Union High School District,310,2017
1740980,17,Illinois,IL,40980,Washington Community High School District 308,71,2017
3010530,30,Montana,MT,10530,Fergus High School District,57,2017
0626310,06,California,CA,26310,Mountain View-Los Altos Union School District,245,2017
1719320,17,Illinois,IL,19320,Hinsdale Township High School District 86,253,2017
3013340,30,Montana,MT,13340,Hardin High School District,170,2017
3008850,30,Montana,MT,08850,Denton High School District,3,2017
3004920,30,Montana,MT,04920,Broadview High School District,3,2017
0603030,06,California,CA,03030,Northern Humboldt Union High School District,302,2017
3408500,34,New Jersey,NJ,08500,Lenape Valley Regional School District,66,2017
2304830,23,Maine,ME,04830,Damariscotta,6,2017
1738100,17,Illinois,IL,38100,Streator Township High School District 40,211,2017
3010290,30,Montana,MT,10290,Fairview High School District,3,2017
5516770,55,Wisconsin,WI,16770,Wilmot Union High School District,94,2017
3416970,34,New Jersey,NJ,16970,Warren Hills Regional School District,130,2017
3013830,30,Montana,MT,13830,Helena High School District,241,2017
3412260,34,New Jersey,NJ,12260,River Dell Regional School District,41,2017
3018900,30,Montana,MT,18900,Moore High School District,5,2017
1725650,17,Illinois,IL,25650,Mendota Township High School District 280,91,2017
0630750,06,California,CA,30750,Placer Union High School District,352,2017
3403210,34,New Jersey,NJ,03210,Clearview Regional School District,104,2017
3011880,30,Montana,MT,11880,Garfield County High School District,10,2017
0900005,09,Connecticut,CT,00005,Regional High School District 19,92,2017
3004860,30,Montana,MT,04860,Powder River County High School District,13,2017
3023970,30,Montana,MT,23970,Shepherd High School District,31,2017
3412570,34,New Jersey,NJ,12570,Passaic Valley Regional School District,161,2017
2510830,25,Massachusetts,MA,10830,Silver Lake School District,85,2017
3302670,33,New Hampshire,NH,02670,Dresden School District,80,2017
3027790,30,Montana,MT,27790,Whitefish High School District,44,2017
5506120,55,Wisconsin,WI,06120,Hartford Union High School District,70,2017
0605820,06,California,CA,05820,Brawley Union High School District,426,2017
1740290,17,Illinois,IL,40290,Vienna High School District 133,80,2017
3021270,30,Montana,MT,21270,Poplar High School District,89,2017
3013470,30,Montana,MT,13470,Harlowton High School District,8,2017
0408520,04,Arizona,AZ,08520,Tolleson Union High School District,2238,2017
0903720,09,Connecticut,CT,03720,Regional High School District 07,40,2017
3028170,30,Montana,MT,28170,Willow Creek High School District,0,2017
0642480,06,California,CA,42480,Whittier Union High School District,1590,2017
1738970,17,Illinois,IL,38970,Thornton Township High School District 205,1765,2017
0634980,06,California,CA,34980,San Mateo Union High School District,568,2017
1708370,17,Illinois,IL,08370,Carbondale Community High School District 165,383,2017
3021900,30,Montana,MT,21900,Rapelje High School District,1,2017
1704170,17,Illinois,IL,04170,Township High School District 214,930,2017
0619830,06,California,CA,19830,Kingsburg Joint Union High School District,289,2017
3023550,30,Montana,MT,23550,Savage High School District,16,2017
3011260,30,Montana,MT,11260,Fort Benton High School District,5,2017
1723070,17,Illinois,IL,23070,Lincoln Way Community High School District 210,190,2017
1732910,17,Illinois,IL,32910,Proviso Township High School District 209,1101,2017
3002450,30,Montana,MT,02450,Augusta High School District,9,2017
3402880,34,New Jersey,NJ,02880,Sterling High School School District,81,2017
3025050,30,Montana,MT,25050,Stevensville High School District,53,2017
0613530,06,California,CA,13530,Fallbrook Union High School District,359,2017
0622800,06,California,CA,22800,Los Gatos-Saratoga Joint Union School District,72,2017
1720610,17,Illinois,IL,20610,Joliet Township High School District 204,905,2017
3411730,34,New Jersey,NJ,11730,Northern Highlands Regional School District,31,2017
1722500,17,Illinois,IL,22500,Lemont Township High School District 210,120,2017
1729790,17,Illinois,IL,29790,O'Fallon Township High School District 203,196,2017
1713230,17,Illinois,IL,13230,East Peoria Community High School District 309,147,2017
0635830,06,California,CA,35830,Santa Rosa High School District,1482,2017
0632010,06,California,CA,32010,Red Bluff Joint Union High School District,456,2017
0633980,06,California,CA,33980,Salinas Union High School District,2682,2017
1712870,17,Illinois,IL,12870,Dwight Township High School District 230,37,2017
3016020,30,Montana,MT,16020,Lambert High School District,2,2017
